Terytorium;Przyst¹pi³o_zda³o;P³eæ;Rok;Liczba osób
Polska;przyst¹pi³o;mê¿czyŸni;2010;160988
Polska;przyst¹pi³o;kobiety;2010;205635
Polska;przyst¹pi³o;mê¿czyŸni;2011;150984
Polska;przyst¹pi³o;kobiety;2011;192840
Polska;przyst¹pi³o;mê¿czyŸni;2012;145321
Polska;przyst¹pi³o;kobiety;2012;184697
Polska;przyst¹pi³o;mê¿czyŸni;2013;139294
Polska;przyst¹pi³o;kobiety;2013;175191
Polska;przyst¹pi³o;mê¿czyŸni;2014;130721
Polska;przyst¹pi³o;kobiety;2014;163253
Polska;przyst¹pi³o;mê¿czyŸni;2015;123785
Polska;przyst¹pi³o;kobiety;2015;151783
Polska;przyst¹pi³o;mê¿czyŸni;2016;115469
Polska;przyst¹pi³o;kobiety;2016;142903
Polska;przyst¹pi³o;mê¿czyŸni;2017;116577
Polska;przyst¹pi³o;kobiety;2017;141453
Polska;przyst¹pi³o;mê¿czyŸni;2018;112592
Polska;przyst¹pi³o;kobiety;2018;135248
Polska;zda³o;mê¿czyŸni;2010;129647
Polska;zda³o;kobiety;2010;169125
Polska;zda³o;mê¿czyŸni;2011;113551
Polska;zda³o;kobiety;2011;145978
Polska;zda³o;mê¿czyŸni;2012;116132
Polska;zda³o;kobiety;2012;148990
Polska;zda³o;mê¿czyŸni;2013;111469
Polska;zda³o;kobiety;2013;143588
Polska;zda³o;mê¿czyŸni;2014;91146
Polska;zda³o;kobiety;2014;116877
Polska;zda³o;mê¿czyŸni;2015;91984
Polska;zda³o;kobiety;2015;112513
Polska;zda³o;mê¿czyŸni;2016;91574
Polska;zda³o;kobiety;2016;113787
Polska;zda³o;mê¿czyŸni;2017;91334
Polska;zda³o;kobiety;2017;111216
Polska;zda³o;mê¿czyŸni;2018;88637
Polska;zda³o;kobiety;2018;108779
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2010;9951
Dolnoœl¹skie;przyst¹pi³o;kobiety;2010;13448
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2011;9386
Dolnoœl¹skie;przyst¹pi³o;kobiety;2011;12146
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2012;9187
Dolnoœl¹skie;przyst¹pi³o;kobiety;2012;11752
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2013;8764
Dolnoœl¹skie;przyst¹pi³o;kobiety;2013;11370
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2014;8459
Dolnoœl¹skie;przyst¹pi³o;kobiety;2014;10474
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2015;8184
Dolnoœl¹skie;przyst¹pi³o;kobiety;2015;9579
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2016;7481
Dolnoœl¹skie;przyst¹pi³o;kobiety;2016;9208
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2017;7554
Dolnoœl¹skie;przyst¹pi³o;kobiety;2017;9077
Dolnoœl¹skie;przyst¹pi³o;mê¿czyŸni;2018;7054
Dolnoœl¹skie;przyst¹pi³o;kobiety;2018;8444
Dolnoœl¹skie;zda³o;mê¿czyŸni;2010;8171
Dolnoœl¹skie;zda³o;kobiety;2010;11005
Dolnoœl¹skie;zda³o;mê¿czyŸni;2011;7090
Dolnoœl¹skie;zda³o;kobiety;2011;9018
Dolnoœl¹skie;zda³o;mê¿czyŸni;2012;7425
Dolnoœl¹skie;zda³o;kobiety;2012;9344
Dolnoœl¹skie;zda³o;mê¿czyŸni;2013;7019
Dolnoœl¹skie;zda³o;kobiety;2013;9208
Dolnoœl¹skie;zda³o;mê¿czyŸni;2014;5881
Dolnoœl¹skie;zda³o;kobiety;2014;7223
Dolnoœl¹skie;zda³o;mê¿czyŸni;2015;6054
Dolnoœl¹skie;zda³o;kobiety;2015;6871
Dolnoœl¹skie;zda³o;mê¿czyŸni;2016;5873
Dolnoœl¹skie;zda³o;kobiety;2016;7041
Dolnoœl¹skie;zda³o;mê¿czyŸni;2017;5833
Dolnoœl¹skie;zda³o;kobiety;2017;6820
Dolnoœl¹skie;zda³o;mê¿czyŸni;2018;5474
Dolnoœl¹skie;zda³o;kobiety;2018;6476
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2010;8001
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2010;10636
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2011;7554
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2011;10334
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2012;7218
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2012;9541
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2013;7208
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2013;9346
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2014;6700
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2014;8779
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2015;6593
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2015;8295
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2016;6002
Kujawsko-pomorskie;przyst¹pi³o;kobiety;2016;7560
Kujawsko-pomorskie;przyst¹pi³o;mê¿czyŸni;2017;6165
